date,year,month,value_mb,source_note
2021-01-15,2021,1,8288.0,
2021-02-15,2021,2,8243.0,
2021-03-15,2021,3,8184.0,
2021-04-15,2021,4,8136.0,
2021-05-15,2021,5,8118.0,
2021-06-15,2021,6,8047.0,
2021-07-15,2021,7,7991.0,
2021-08-15,2021,8,7908.0,
2021-09-15,2021,9,7831.0,
2021-10-15,2021,10,7804.0,
2021-11-15,2021,11,7755.0,
2021-12-15,2021,12,7679.0,
2022-01-15,2022,1,7700.0,lectura_visual
2022-02-15,2022,2,7641.0,
2022-03-15,2022,3,7608.0,
2022-04-15,2022,4,7707.0,
2022-05-15,2022,5,7707.0,
2022-06-15,2022,6,7684.0,
2022-07-15,2022,7,7677.0,
2022-08-15,2022,8,7705.0,
2022-09-15,2022,9,7702.0,
2022-10-15,2022,10,7720.0,
2022-11-15,2022,11,7819.0,
2022-12-15,2022,12,7760.0,
2023-01-15,2023,1,7801.0,
2023-02-15,2023,2,7781.0,
2023-03-15,2023,3,7758.0,
2023-04-15,2023,4,7788.0,
2023-05-15,2023,5,7809.0,
2023-06-15,2023,6,7776.0,
2023-07-15,2023,7,7773.0,
2023-08-15,2023,8,7725.0,
2023-10-15,2023,10,7694.0,
2023-11-15,2023,11,7682.0,
2023-12-15,2023,12,7712.0,
2024-01-15,2024,1,7682.0,
2024-02-15,2024,2,7732.0,
2024-03-15,2024,3,7788.0,
2024-04-15,2024,4,7826.0,
2024-05-15,2024,5,7834.0,
2024-06-15,2024,6,7831.0,
2024-07-15,2024,7,7788.0,
2024-08-15,2024,8,7773.0,
2024-09-15,2024,9,7725.0,
2024-10-15,2024,10,7682.0,
2024-11-15,2024,11,7694.0,
2024-12-15,2024,12,7692.0,
2025-01-15,2025,1,7666.0,
2025-02-15,2025,2,7692.0,
2025-03-15,2025,3,7730.0,
2025-04-15,2025,4,7760.0,
2025-05-15,2025,5,7834.0,
2025-06-15,2025,6,7857.0,
2025-07-15,2025,7,7908.0,
2025-08-15,2025,8,7948.0,
2025-09-15,2025,9,8035.0,
2025-10-15,2025,10,8055.0,
2025-11-15,2025,11,8126.0,
2025-12-15,2025,12,8146.0,
2026-01-15,2026,1,8184.0,
2026-02-15,2026,2,8197.0,
2026-03-15,2026,3,8070.0,
2026-04-15,2026,4,7951.0,
